timestamp,q1_awareness_rangdosha,q2_satisfaction_pistachio,q2_1_reason_pistachio,q3_satisfaction_darkhazelnut,q3_1_reason_darkhazelnut,q4_expression_rangdosha,q5_opinion_date_topping,q6_opinion_local_story,q7_satisfaction_package,q7_1_reason_package,q8_price_opinion,q9_price_expectation,q10_purchase_intent,q11_improvement_priority,q12_interest_supporters,q13_gender,q14_additional_comment
2025/04/30 2:03:14 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,2,초코맛이 조금 강하다는 느낌을 받아서 조금더 박혀있는 청크에 집중할수 있었으면 좋겠습니다,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,3,,2,9000원,맛있긴 했지만 조금 더 고민해볼 것 같다,마케팅 및 홍보,없다,남,
2025/04/30 2:03:21 오후 GMT+9,"네, 알고 있습니다.",4,맛있는데 피스타치오의 맛이 조금 약한 것 같습니다.,5,위에 쿠키가 많이 안 달아서 안에 들어있는 초코의 맛과 적절하게 어우러져서 좋았습니다.,트렌디하고 인스타그램에 잘 어울리는 디저트;간편하게 즐길 수 있는 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,따듯하고 스누켓이랑 고양이 캐릭터와 귀엽게 잘 어우러지는 것 같습니다,4,12000원,선물용으로 고려 중이다,맛,없다,여,
2025/04/30 2:03:55 오후 GMT+9,"아니요, 처음 들어봅니다.",5,피스타치오의 고소한 맛과 기본 베이스의 담백한 맛이 잘 어울려요,3,생각보다 조금 느끼해요,트렌디하고 인스타그램에 잘 어울리는 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,,3,11000,맛있긴 했지만 조금 더 고민해볼 것 같다,맛,있다,여,
2025/04/30 2:04:06 오후 GMT+9,"아니요, 처음 들어봅니다.",4,"피스타치오여서 조금 덜 달았으면 좋았을 것 같기도 합니다. 그리고 채키징이나 식감, 맛 모두 다 좋았지만 포장지 특유의 향이 맨처음에 개봉했을때의 향을 망치는 것 같아 조금 아쉬웠습니다. 한번 향이 안나는 포장지를 찾아보는 것도 좋을 것 같습니다.",5,다크 초콜릿이여서 단게 굉장히 적절했고 맛있었습니다.,선물용으로 적합한 프리미엄 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,랑그드샤의 색감이 반투명한 포장지에 싸여서 흐리게 보이는데 딱 포장지가 색감이 너무 쨍하고 눈에 확들어온다. ,3,10000원,맛있긴 했지만 조금 더 고민해볼 것 같다,포장,없다,여,
2025/04/30 2:05:11 오후 GMT+9,"네, 알고 있습니다.",3,"버터향도 적당하고, 피스타치오 향도 적당함",4,초코향이 강하게 느껴짐. 헤이즐넛을 잘 모르겠음.,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",3,파리바게트 쿠키 페키징 느낌 정도인것 같다. ,2,"비싸게 팔고 싶다면, 페키징을 좀 더 신경써야할 것 같다. 고급진 느낌보다는 프랜차이즈 페키징인것 같다. ",맛있긴 했지만 조금 더 고민해볼 것 같다,포장,고민중이다,여,
2025/04/30 2:05:16 오후 GMT+9,"아니요, 처음 들어봅니다.",3,맛이 유니크한게 없는 거 같다,3,맛보지 못했다,간편하게 즐길 수 있는 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,박스는 디자인이 너무 예쁘지만 랑그드샤는 가격에 비해 포장이 조금 조촐하다,2,8800원,구매 의사가 없다,맛,없다,남,강연 너무 잘들었습니다.!! 다만 개인적으로 느끼기에 구성이나 맛에 비해 가격이 비싼거 같습니다.! 가격 자체가 비싸다기 보다는 평범한 맛에 조그마한 과자가 1개에 1400원 정도인것에 소비자들이 지갑을 열지 조금 궁금합니다.!! 조금만 더 대추와 피스타치오 등의 맛이다 향을 추가해 풍부한 맛이 나서 특색을 가져갔으면 어떨까 의견 내봅니다.!
2025/04/30 2:11:48 오후 GMT+9,"네, 알고 있습니다.",2,"피스타치오 맛이 많이 진하지 않았고, 쿠키가 설탕결정같이 씹히는 느낌이 별로였다. 또 대추의 씁슬한 맛이 호불호가 갈릴 것 같다",4,다크초콜릿이라면 조금 더 씁슬해도 좋을 것 같다.,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,대추와 랑그드샤가 조화롭지 못하다,"랑그드샤와 대추의 조합이 생소하다. 랑그드샤는 유럽에서 나와 일본에서도 유행중인 디저트인데, 청도라는 지역과의 연관을 잘 풀어나가야 겠다는 생각이 들었다 ",3,"랑그드샤는 아무래도 프리미엄 디저트라는 인식이 있는데 너무 전통적인 색깔이 나는 것 같아서 트랜디함이나 새로움, 심플함을 제공해야할 것 같다",4,8개에 10000원 이하,선물용으로 고려 중이다,맛,있다,여,
2025/04/30 2:16:19 오후 GMT+9,"아니요, 처음 들어봅니다.",5,맛있고 고급스럽습니다,4,고급스러운 맛이었습니다,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,심플하고 귀엽다. 주 타겟층인 2030 여성들이 충분히 흥미를 가질 수 있다 판단하였다.,1,8000,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,있다,남,귀한 섬김 감사합니다.
2025/04/30 2:30:22 오후 GMT+9,"네, 알고 있습니다.",5,,5,,선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,,5,,바로 구매하고 싶다,맛,있다,여,
2025/04/30 5:08:59 오후 GMT+9,"네, 알고 있습니다.",5,,5,,전통과 현대가 조화된 창의적인 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,3,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,가격,없다,여,
